2,2932693.226,423432.753,127.986,CP
3,2932688.617,423470.441,127.992,CP
100,2932695.403,423433.042,128.000,RD1
101,2932703.965,423433.102,127.971,RD1
102,2932713.655,423433.168,127.975,RD1
103,2932718.506,423433.027,127.983,RD1
104,2932724.432,423432.901,128.081,RD1
105,2932731.777,423435.020,128.134,RD1
106,2932732.061,423438.081,128.118,RD1
107,2932724.000,423437.377,128.000,RD1
108,2932713.740,423436.967,128.012,RD1
109,2932703.569,423437.499,127.982,RD1
110,2932697.385,423437.623,127.963,RD1
111,2932693.458,423439.677,127.977,RD1
112,2932693.544,423451.168,127.962,RD1
113,2932692.937,423461.707,128.025,RD1
114,2932688.057,423461.228,127.946,RD1
115,2932688.044,423461.226,127.946,RD1
116,2932687.938,423450.162,127.977,RD1
117,2932688.117,423439.531,127.992,RD1
118,2932688.380,423432.676,127.997,RD1
119,2932697.612,423440.795,128.043,RD1
120,2932686.120,423445.820,127.919,T
121,2932688.035,423464.320,127.939,T
122,2932686.501,423448.134,127.984,P
123,2932698.656,423438.754,128.151,WG
124,2932726.164,423438.546,128.120,WG
125,2932735.653,423438.356,128.110,WS
126,2932694.231,423459.890,127.988,RD3
127,2932697.247,423463.377,127.991,RD3
128,2932715.154,423464.088,128.125,RD3
129,2932731.538,423463.588,128.194,RD3
130,2932726.795,423466.126,128.197,RD3
131,2932715.432,423466.451,128.089,RD3
132,2932699.955,423467.102,128.009,RD3
133,2932691.802,423478.091,128.025,RD3
134,2932692.201,423493.636,128.004,RD3
135,2932689.820,423493.834,128.002,RD3
136,2932689.263,423481.938,128.055,RD3
137,2932692.664,423481.943,128.134,T
138,2932687.068,423488.812,128.021,T
139,2932698.727,423457.027,128.021,WG
140,2932698.875,423474.495,128.257,EB
141,2932698.112,423470.390,128.052,T
142,2932702.053,423460.517,128.080,T
4,2932685.710,423529.682,128.032,CP
143,2932682.949,423524.413,127.858,RDG
144,2932683.149,423532.325,127.920,RD4
145,2932688.853,423527.918,127.924,RD4
146,2932690.859,423523.860,127.869,RD4
147,2932688.454,423519.430,127.849,RD4
148,2932692.888,423509.142,127.869,RD4
149,2932690.721,423508.600,127.894,RD4
150,2932690.484,423499.617,127.882,RD4
151,2932692.715,423499.735,127.901,RD4
152,2932700.661,423514.411,127.933,RD4
153,2932706.748,423513.313,127.990,RD4
154,2932694.204,423520.140,127.894,RD4
155,2932690.093,423523.952,127.874,RD4
156,2932712.676,423510.227,127.991,RD4
157,2932712.187,423508.933,127.988,RD4
158,2932723.037,423503.607,127.979,RD4
159,2932723.946,423505.883,127.891,RD4
160,2932718.104,423510.394,128.021,T
161,2932709.351,423515.167,127.985,T
162,2932702.180,423520.127,127.998,T
163,2932694.969,423522.790,128.019,T
164,2932692.780,423516.278,127.931,T
165,2932702.332,423512.304,127.912,T
166,2932699.872,423506.533,127.958,T
167,2932689.484,423507.979,127.857,T
168,2932683.721,423521.420,127.859,T
169,2932696.241,423523.212,127.904,EP
170,2932697.455,423499.025,127.895,EB
171,2932706.330,423498.917,128.107,EB
172,2932725.778,423498.366,128.100,EB
173,2932697.352,423491.705,128.001,EB
6,2932786.830,423500.836,128.178,CP
8,2932787.920,423465.336,128.217,CP
174,2932785.996,423504.243,128.054,RD6
175,2932780.012,423503.854,128.120,RD6
176,2932772.871,423503.358,128.061,RD6
177,2932755.887,423503.893,128.032,RD6
178,2932743.539,423504.429,128.009,RD6
179,2932740.076,423505.790,127.986,RD6
180,2932732.389,423507.050,127.997,RD6
181,2932728.460,423507.314,127.989,RD6
182,2932723.976,423507.989,127.995,RD6
183,2932719.273,423508.462,127.928,RD6
184,2932725.805,423505.826,127.987,RD6
185,2932732.894,423505.394,127.965,RD6
186,2932736.030,423505.117,127.949,RD6
187,2932738.656,423503.955,127.955,RD6
188,2932743.560,423502.311,127.974,RD6
189,2932759.803,423501.712,128.032,RD6
190,2932777.397,423501.017,128.052,RD6
191,2932781.062,423500.929,128.137,RD6
192,2932781.946,423489.285,128.137,RD6
193,2932781.868,423479.173,128.131,RD6
194,2932787.450,423480.196,128.077,RD6
195,2932787.748,423488.579,128.051,RD6
196,2932787.766,423496.898,128.058,RD6
197,2932773.247,423505.335,128.059,T
198,2932761.019,423505.132,127.988,T
199,2932761.338,423500.126,128.047,T
200,2932772.601,423499.782,128.119,T
201,2932740.181,423501.219,127.967,T
202,2932753.380,423504.781,127.972,EP
203,2932779.099,423499.523,128.139,EP
204,2932727.374,423501.066,128.108,EB
205,2932750.564,423497.584,127.982,EB
206,2932781.237,423496.212,128.152,EB
207,2932781.119,423476.335,128.165,EB
208,2932789.000,423483.754,127.980,EB
209,2932787.968,423478.302,128.079,RD8
210,2932782.046,423478.095,128.132,RD8
211,2932780.651,423466.080,128.101,RD8
212,2932758.491,423466.393,128.132,RD8
213,2932745.425,423467.017,128.114,RD8
214,2932753.612,423464.187,128.210,RD8
215,2932771.483,423463.626,128.211,RD8
216,2932784.533,423461.621,128.136,RD8
217,2932787.016,423450.658,128.237,RD8
218,2932788.290,423442.528,128.232,RD8
219,2932791.343,423443.162,128.163,RD8
220,2932789.462,423452.468,128.189,RD8
221,2932790.126,423459.648,128.191,T
222,2932765.119,423461.362,128.033,T
223,2932758.560,423470.613,128.120,T
224,2932766.697,423471.598,128.090,T
225,2932742.927,423463.970,128.197,T
226,2932752.967,423461.953,128.114,EP
227,2932763.675,423471.073,128.082,EP
228,2932782.274,423461.228,128.281,EP
229,2932767.109,423457.707,128.026,WG
230,2932742.136,423459.393,128.049,WG
231,2932754.526,423475.091,128.268,EB
9,2932788.750,423437.718,128.191,CP
232,2932792.535,423439.800,128.143,RD9
233,2932787.603,423443.462,128.283,RD9
234,2932776.380,423442.536,128.166,RD9
235,2932770.421,423441.516,128.180,RD9
236,2932767.120,423439.443,128.175,RD9
237,2932763.915,423438.504,128.130,RD9
238,2932763.937,423438.497,128.130,WGD
239,2932758.056,423438.702,128.112,WG9
240,2932752.092,423438.686,128.114,WG9
241,2932746.652,423439.241,128.113,WG9
242,2932739.093,423439.244,128.114,WG9
243,2932733.862,423439.158,128.117,WG9
244,2932743.045,423437.369,128.074,STB
245,2932768.803,423438.324,128.150,STB
246,2932772.658,423440.257,128.118,STB
247,2932780.274,423440.930,128.221,STB
248,2932787.416,423440.978,128.246,STB
249,2932785.886,423436.294,128.252,T
250,2932786.572,423440.316,128.225,T
